type;temps;posLatLon;posPix;NOcorner;center;nivZoom;trans
movestart;{"min":0,"sec":1,"mili":632};null;null;LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;Point(-2, 0)
dragstart;{"min":0,"sec":1,"mili":632};null;null;LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;Point(-2, 0)
move;{"min":0,"sec":1,"mili":632};null;null;LatLng(55.883736, -4.310074);LatLng(55.871699, -4.288616);14;Point(3, 0)
move;{"min":0,"sec":1,"mili":748};null;null;LatLng(55.883736, -4.310331);LatLng(55.871699, -4.288874);14;Point(6, 0)
move;{"min":0,"sec":1,"mili":748};null;null;LatLng(55.883736, -4.310846);LatLng(55.871699, -4.289389);14;Point(12, 0)
move;{"min":0,"sec":1,"mili":748};null;null;LatLng(55.883688, -4.311104);LatLng(55.871651, -4.289646);14;Point(15, -1)
move;{"min":0,"sec":1,"mili":748};null;null;LatLng(55.88364, -4.311533);LatLng(55.871603, -4.290075);14;Point(20, -2)
move;{"min":0,"sec":1,"mili":748};null;null;LatLng(55.88364, -4.311619);LatLng(55.871603, -4.290161);14;Point(21, -2)
move;{"min":0,"sec":1,"mili":748};null;null;LatLng(55.883592, -4.31179);LatLng(55.871555, -4.290333);14;Point(23, -3)
move;{"min":0,"sec":1,"mili":748};null;null;LatLng(55.883544, -4.312048);LatLng(55.871507, -4.29059);14;Point(26, -4)
move;{"min":0,"sec":1,"mili":849};null;null;LatLng(55.883496, -4.312477);LatLng(55.871459, -4.291019);14;Point(31, -5)
move;{"min":0,"sec":1,"mili":849};null;null;LatLng(55.883399, -4.313507);LatLng(55.871362, -4.292049);14;Point(43, -7)
move;{"min":0,"sec":1,"mili":849};null;null;LatLng(55.883351, -4.31385);LatLng(55.871314, -4.292393);14;Point(47, -8)
move;{"min":0,"sec":1,"mili":849};null;null;LatLng(55.883303, -4.31428);LatLng(55.871266, -4.292822);14;Point(52, -9)
move;{"min":0,"sec":1,"mili":849};null;null;LatLng(55.883303, -4.314451);LatLng(55.871266, -4.292994);14;Point(54, -9)
