type;temps;posLatLon;posPix;NOcorner;center;nivZoom
movestart;{"min":0,"sec":8,"mili":293};null;null;LatLng(55.883736, -4.309473);LatLng(55.871699, -4.288015);null
dragstart;{"min":0,"sec":8,"mili":293};null;null;LatLng(55.883736, -4.309473);LatLng(55.871699, -4.288015);null
dragend;{"min":0,"sec":12,"mili":559};null;null;LatLng(55.883014, -4.300461);LatLng(55.870977, -4.279003);null
moveend;{"min":0,"sec":12,"mili":559};null;null;LatLng(55.883014, -4.300461);LatLng(55.870977, -4.279003);null
zoomstart;{"min":0,"sec":15,"mili":719};null;null;LatLng(55.883014, -4.300461);LatLng(55.870977, -4.279003);14
movestart;{"min":0,"sec":15,"mili":719};null;null;LatLng(55.883014, -4.300461);LatLng(55.870977, -4.279003);null
Using mouse
zoom;{"min":0,"sec":15,"mili":951};null;null;LatLng(55.875503, -4.29029);LatLng(55.869484, -4.279561);15
zoomend;{"min":0,"sec":15,"mili":951};null;null;LatLng(55.875503, -4.29029);LatLng(55.869484, -4.279561);15
moveend;{"min":0,"sec":15,"mili":951};null;null;LatLng(55.875503, -4.29029);LatLng(55.869484, -4.279561);null
zoomstart;{"min":0,"sec":17,"mili":613};null;null;LatLng(55.875503, -4.29029);LatLng(55.869484, -4.279561);15
movestart;{"min":0,"sec":17,"mili":613};null;null;LatLng(55.875503, -4.29029);LatLng(55.869484, -4.279561);null
zoom;{"min":0,"sec":17,"mili":836};null;null;LatLng(55.871639, -4.286857);LatLng(55.868629, -4.281492);16
zoomend;{"min":0,"sec":17,"mili":836};null;null;LatLng(55.871639, -4.286857);LatLng(55.868629, -4.281492);16
moveend;{"min":0,"sec":17,"mili":836};null;null;LatLng(55.871639, -4.286857);LatLng(55.868629, -4.281492);null
movestart;{"min":0,"sec":18,"mili":54};null;null;LatLng(55.871639, -4.286857);LatLng(55.868629, -4.281492);null
dragstart;{"min":0,"sec":18,"mili":54};null;null;LatLng(55.871639, -4.286857);LatLng(55.868629, -4.281492);null
dragend;{"min":0,"sec":18,"mili":817};null;null;LatLng(55.870303, -4.29029);LatLng(55.867293, -4.284925);null
moveend;{"min":0,"sec":18,"mili":817};null;null;LatLng(55.870303, -4.29029);LatLng(55.867293, -4.284925);null
movestart;{"min":0,"sec":20,"mili":233};null;null;LatLng(55.870303, -4.29029);LatLng(55.867293, -4.284925);null
dragstart;{"min":0,"sec":20,"mili":233};null;null;LatLng(55.870303, -4.29029);LatLng(55.867293, -4.284925);null
dragend;{"min":0,"sec":21,"mili":322};null;null;LatLng(55.869797, -4.290161);LatLng(55.866787, -4.284797);null
moveend;{"min":0,"sec":21,"mili":433};null;null;LatLng(55.869785, -4.290118);LatLng(55.866775, -4.284754);null
