type;temps;posLatLon;posPix;NOcorner;center;nivZoom
zoomstart;"{""min"":0,""sec"":3,""mili"":378}";null;null;LatLng(55.883736, -4.309559);LatLng(55.871699, -4.288101);14
movestart;"{""min"":0,""sec"":3,""mili"":378}";null;null;LatLng(55.883736, -4.309559);LatLng(55.871699, -4.288101);null
zoom;"{""min"":0,""sec"":3,""mili"":612}";null;null;LatLng(55.878224, -4.298444);LatLng(55.872205, -4.287715);15
zoomend;"{""min"":0,""sec"":3,""mili"":612}";null;null;LatLng(55.878224, -4.298444);LatLng(55.872205, -4.287715);15
moveend;"{""min"":0,""sec"":3,""mili"":612}";null;null;LatLng(55.878224, -4.298444);LatLng(55.872205, -4.287715);null
Using mouse;;;;;;
zoomstart;"{""min"":0,""sec"":3,""mili"":720}";null;null;LatLng(55.878224, -4.298444);LatLng(55.872205, -4.287715);15
movestart;"{""min"":0,""sec"":3,""mili"":720}";null;null;LatLng(55.878224, -4.298444);LatLng(55.872205, -4.287715);null
zoom;"{""min"":0,""sec"":3,""mili"":953}";null;null;LatLng(55.875455, -4.292951);LatLng(55.872446, -4.287586);16
zoomend;"{""min"":0,""sec"":3,""mili"":953}";null;null;LatLng(55.875455, -4.292951);LatLng(55.872446, -4.287586);16
moveend;"{""min"":0,""sec"":3,""mili"":953}";null;null;LatLng(55.875455, -4.292951);LatLng(55.872446, -4.287586);null
movestart;"{""min"":0,""sec"":4,""mili"":856}";null;null;LatLng(55.875455, -4.292951);LatLng(55.872446, -4.287586);null
dragstart;"{""min"":0,""sec"":4,""mili"":856}";null;null;LatLng(55.875455, -4.292951);LatLng(55.872446, -4.287586);null
dragend;"{""min"":0,""sec"":5,""mili"":514}";null;null;LatLng(55.874107, -4.294538);LatLng(55.871097, -4.289174);null
moveend;"{""min"":0,""sec"":5,""mili"":514}";null;null;LatLng(55.874107, -4.294538);LatLng(55.871097, -4.289174);null
zoomstart;"{""min"":0,""sec"":6,""mili"":162}";null;null;LatLng(55.874107, -4.294538);LatLng(55.871097, -4.289174);16
movestart;"{""min"":0,""sec"":6,""mili"":162}";null;null;LatLng(55.874107, -4.294538);LatLng(55.871097, -4.289174);null
zoom;"{""min"":0,""sec"":6,""mili"":432}";null;null;LatLng(55.872945, -4.291202);LatLng(55.871441, -4.28852);17
zoomend;"{""min"":0,""sec"":6,""mili"":432}";null;null;LatLng(55.872945, -4.291202);LatLng(55.871441, -4.28852);17
moveend;"{""min"":0,""sec"":6,""mili"":432}";null;null;LatLng(55.872945, -4.291202);LatLng(55.871441, -4.28852);null
zoomstart;"{""min"":0,""sec"":6,""mili"":534}";null;null;LatLng(55.872945, -4.291202);LatLng(55.871441, -4.28852);17
movestart;"{""min"":0,""sec"":6,""mili"":534}";null;null;LatLng(55.872945, -4.291202);LatLng(55.871441, -4.28852);null
zoom;"{""min"":0,""sec"":6,""mili"":760}";null;null;LatLng(55.872365, -4.289539);LatLng(55.871612, -4.288198);18
zoomend;"{""min"":0,""sec"":6,""mili"":760}";null;null;LatLng(55.872365, -4.289539);LatLng(55.871612, -4.288198);18
moveend;"{""min"":0,""sec"":6,""mili"":760}";null;null;LatLng(55.872365, -4.289539);LatLng(55.871612, -4.288198);null
movestart;"{""min"":0,""sec"":7,""mili"":735}";null;null;LatLng(55.872365, -4.289539);LatLng(55.871612, -4.288198);null
dragstart;"{""min"":0,""sec"":7,""mili"":735}";null;null;LatLng(55.872365, -4.289539);LatLng(55.871612, -4.288198);null
dragend;"{""min"":0,""sec"":8,""mili"":283}";null;null;LatLng(55.872548, -4.28985);LatLng(55.871796, -4.288509);null
moveend;"{""min"":0,""sec"":8,""mili"":283}";null;null;LatLng(55.872548, -4.28985);LatLng(55.871796, -4.288509);null
movestart;"{""min"":0,""sec"":9,""mili"":152}";null;null;LatLng(55.872548, -4.28985);LatLng(55.871796, -4.288509);null
dragstart;"{""min"":0,""sec"":9,""mili"":152}";null;null;LatLng(55.872548, -4.28985);LatLng(55.871796, -4.288509);null
