type;temps;posLatLon;posPix;NOcorner;center;nivZoom
movestart;{"min":0,"sec":1,"mili":641};null;null;LatLng(55.883736, -4.309301);LatLng(55.871699, -4.287844);null
dragstart;{"min":0,"sec":1,"mili":641};null;null;LatLng(55.883736, -4.309301);LatLng(55.871699, -4.287844);null
dragend;{"min":0,"sec":2,"mili":84};null;null;LatLng(55.882244, -4.310932);LatLng(55.870207, -4.289474);null
moveend;{"min":0,"sec":2,"mili":194};null;null;LatLng(55.882292, -4.310846);LatLng(55.870255, -4.289389);null
movestart;{"min":0,"sec":7,"mili":792};null;null;LatLng(55.882292, -4.310846);LatLng(55.870255, -4.289389);null
dragstart;{"min":0,"sec":7,"mili":792};null;null;LatLng(55.882292, -4.310846);LatLng(55.870255, -4.289389);null
dragend;{"min":0,"sec":8,"mili":123};null;null;LatLng(55.882822, -4.304323);LatLng(55.870784, -4.282866);null
moveend;{"min":0,"sec":8,"mili":123};null;null;LatLng(55.882822, -4.304323);LatLng(55.870784, -4.282866);null
movestart;{"min":0,"sec":8,"mili":892};null;null;LatLng(55.882822, -4.304323);LatLng(55.870784, -4.282866);null
dragstart;{"min":0,"sec":8,"mili":892};null;null;LatLng(55.882822, -4.304323);LatLng(55.870784, -4.282866);null
dragend;{"min":0,"sec":9,"mili":227};null;null;LatLng(55.877285, -4.294796);LatLng(55.865246, -4.273338);null
moveend;{"min":0,"sec":9,"mili":227};null;null;LatLng(55.877285, -4.294796);LatLng(55.865246, -4.273338);null
movestart;{"min":0,"sec":9,"mili":776};null;null;LatLng(55.877285, -4.294796);LatLng(55.865246, -4.273338);null
dragstart;{"min":0,"sec":9,"mili":776};null;null;LatLng(55.877285, -4.294796);LatLng(55.865246, -4.273338);null
dragend;{"min":0,"sec":9,"mili":994};null;null;LatLng(55.874203, -4.278145);LatLng(55.862163, -4.256687);null
moveend;{"min":0,"sec":9,"mili":994};null;null;LatLng(55.874203, -4.278145);LatLng(55.862163, -4.256687);null
movestart;{"min":0,"sec":10,"mili":431};null;null;LatLng(55.874203, -4.278145);LatLng(55.862163, -4.256687);null
dragstart;{"min":0,"sec":10,"mili":431};null;null;LatLng(55.874203, -4.278145);LatLng(55.862163, -4.256687);null
dragend;{"min":0,"sec":10,"mili":538};null;null;LatLng(55.876466, -4.298916);LatLng(55.864427, -4.277458);null
moveend;{"min":0,"sec":10,"mili":649};null;null;LatLng(55.876466, -4.299173);LatLng(55.864427, -4.277716);null
movestart;{"min":0,"sec":10,"mili":868};null;null;LatLng(55.876466, -4.299173);LatLng(55.864427, -4.277716);null
dragstart;{"min":0,"sec":10,"mili":868};null;null;LatLng(55.876466, -4.299173);LatLng(55.864427, -4.277716);null
dragend;{"min":0,"sec":10,"mili":980};null;null;LatLng(55.880222, -4.302006);LatLng(55.868184, -4.280548);null
moveend;{"min":0,"sec":11,"mili":96};null;null;LatLng(55.88027, -4.302092);LatLng(55.868232, -4.280634);null
movestart;{"min":0,"sec":11,"mili":324};null;null;LatLng(55.88027, -4.302092);LatLng(55.868232, -4.280634);null
dragstart;{"min":0,"sec":11,"mili":324};null;null;LatLng(55.88027, -4.302092);LatLng(55.868232, -4.280634);null
dragend;{"min":0,"sec":11,"mili":545};null;null;LatLng(55.883544, -4.303637);LatLng(55.871507, -4.282179);null
moveend;{"min":0,"sec":11,"mili":545};null;null;LatLng(55.883544, -4.303637);LatLng(55.871507, -4.282179);null
zoomstart;{"min":0,"sec":11,"mili":764};null;null;LatLng(55.883544, -4.303637);LatLng(55.871507, -4.282179);14
movestart;{"min":0,"sec":11,"mili":764};null;null;LatLng(55.883544, -4.303637);LatLng(55.871507, -4.282179);null
Using mouse
zoom;{"min":0,"sec":11,"mili":985};null;null;LatLng(55.878176, -4.294753);LatLng(55.872157, -4.284024);15
zoomend;{"min":0,"sec":11,"mili":985};null;null;LatLng(55.878176, -4.294753);LatLng(55.872157, -4.284024);15
moveend;{"min":0,"sec":11,"mili":985};null;null;LatLng(55.878176, -4.294753);LatLng(55.872157, -4.284024);null
movestart;{"min":0,"sec":14,"mili":941};null;null;LatLng(55.878176, -4.294753);LatLng(55.872157, -4.284024);null
dragstart;{"min":0,"sec":14,"mili":941};null;null;LatLng(55.878176, -4.294753);LatLng(55.872157, -4.284024);null
dragend;{"min":0,"sec":15,"mili":287};null;null;LatLng(55.880848, -4.294281);LatLng(55.874829, -4.283552);null
moveend;{"min":0,"sec":15,"mili":287};null;null;LatLng(55.880848, -4.294281);LatLng(55.874829, -4.283552);null
zoomstart;{"min":0,"sec":18,"mili":899};null;null;LatLng(55.880848, -4.294281);LatLng(55.874829, -4.283552);15
movestart;{"min":0,"sec":18,"mili":899};null;null;LatLng(55.880848, -4.294281);LatLng(55.874829, -4.283552);null
zoom;{"min":0,"sec":19,"mili":116};null;null;LatLng(55.88648, -4.307241);LatLng(55.874444, -4.285784);14
zoomend;{"min":0,"sec":19,"mili":116};null;null;LatLng(55.88648, -4.307241);LatLng(55.874444, -4.285784);14
moveend;{"min":0,"sec":19,"mili":116};null;null;LatLng(55.88648, -4.307241);LatLng(55.874444, -4.285784);null
zoomstart;{"min":0,"sec":19,"mili":226};null;null;LatLng(55.88648, -4.307241);LatLng(55.874444, -4.285784);14
movestart;{"min":0,"sec":19,"mili":226};null;null;LatLng(55.88648, -4.307241);LatLng(55.874444, -4.285784);null
zoom;{"min":0,"sec":19,"mili":551};null;null;LatLng(55.897743, -4.333248);LatLng(55.873674, -4.290333);13
zoomend;{"min":0,"sec":19,"mili":551};null;null;LatLng(55.897743, -4.333248);LatLng(55.873674, -4.290333);13
moveend;{"min":0,"sec":19,"mili":551};null;null;LatLng(55.897743, -4.333248);LatLng(55.873674, -4.290333);null
movestart;{"min":0,"sec":19,"mili":659};null;null;LatLng(55.897743, -4.333248);LatLng(55.873674, -4.290333);null
dragstart;{"min":0,"sec":19,"mili":659};null;null;LatLng(55.897743, -4.333248);LatLng(55.873674, -4.290333);null
dragend;{"min":0,"sec":19,"mili":984};null;null;LatLng(55.888021, -4.31797);LatLng(55.863946, -4.275055);null
moveend;{"min":0,"sec":19,"mili":984};null;null;LatLng(55.888021, -4.31797);LatLng(55.863946, -4.275055);null
zoomstart;{"min":0,"sec":26,"mili":635};null;null;LatLng(55.888021, -4.31797);LatLng(55.863946, -4.275055);13
movestart;{"min":0,"sec":26,"mili":635};null;null;LatLng(55.888021, -4.31797);LatLng(55.863946, -4.275055);null
zoom;{"min":0,"sec":26,"mili":858};null;null;LatLng(55.881955, -4.299431);LatLng(55.869918, -4.277973);14
zoomend;{"min":0,"sec":26,"mili":858};null;null;LatLng(55.881955, -4.299431);LatLng(55.869918, -4.277973);14
moveend;{"min":0,"sec":26,"mili":858};null;null;LatLng(55.881955, -4.299431);LatLng(55.869918, -4.277973);null
zoomstart;{"min":0,"sec":26,"mili":967};null;null;LatLng(55.881955, -4.299431);LatLng(55.869918, -4.277973);14
movestart;{"min":0,"sec":26,"mili":967};null;null;LatLng(55.881955, -4.299431);LatLng(55.869918, -4.277973);null
zoom;{"min":0,"sec":27,"mili":190};null;null;LatLng(55.878922, -4.290161);LatLng(55.872903, -4.279432);15
zoomend;{"min":0,"sec":27,"mili":190};null;null;LatLng(55.878922, -4.290161);LatLng(55.872903, -4.279432);15
moveend;{"min":0,"sec":27,"mili":190};null;null;LatLng(55.878922, -4.290161);LatLng(55.872903, -4.279432);null
movestart;{"min":0,"sec":29,"mili":408};null;null;LatLng(55.878922, -4.290161);LatLng(55.872903, -4.279432);null
dragstart;{"min":0,"sec":29,"mili":408};null;null;LatLng(55.878922, -4.290161);LatLng(55.872903, -4.279432);null
dragend;{"min":0,"sec":29,"mili":624};null;null;LatLng(55.879692, -4.292908);LatLng(55.873674, -4.282179);null
moveend;{"min":0,"sec":29,"mili":624};null;null;LatLng(55.879692, -4.292908);LatLng(55.873674, -4.282179);null
movestart;{"min":0,"sec":30,"mili":169};null;null;LatLng(55.879692, -4.292908);LatLng(55.873674, -4.282179);null
moveend;{"min":0,"sec":30,"mili":388};null;null;LatLng(55.88015, -4.292908);LatLng(55.874131, -4.282179);null
zoomstart;{"min":0,"sec":31,"mili":156};null;null;LatLng(55.88015, -4.292908);LatLng(55.874131, -4.282179);15
movestart;{"min":0,"sec":31,"mili":156};null;null;LatLng(55.88015, -4.292908);LatLng(55.874131, -4.282179);null
zoom;{"min":0,"sec":31,"mili":371};null;null;LatLng(55.878814, -4.29014);LatLng(55.875804, -4.284775);16
zoomend;{"min":0,"sec":31,"mili":371};null;null;LatLng(55.878814, -4.29014);LatLng(55.875804, -4.284775);16
moveend;{"min":0,"sec":31,"mili":371};null;null;LatLng(55.878814, -4.29014);LatLng(55.875804, -4.284775);null
zoomstart;{"min":0,"sec":32,"mili":690};null;null;LatLng(55.878814, -4.29014);LatLng(55.875804, -4.284775);16
movestart;{"min":0,"sec":32,"mili":690};null;null;LatLng(55.878814, -4.29014);LatLng(55.875804, -4.284775);null
zoom;{"min":0,"sec":32,"mili":909};null;null;LatLng(55.88015, -4.292908);LatLng(55.874131, -4.282179);15
zoomend;{"min":0,"sec":32,"mili":909};null;null;LatLng(55.88015, -4.292908);LatLng(55.874131, -4.282179);15
moveend;{"min":0,"sec":32,"mili":909};null;null;LatLng(55.88015, -4.292908);LatLng(55.874131, -4.282179);null
zoomstart;{"min":0,"sec":32,"mili":909};null;null;LatLng(55.88015, -4.292908);LatLng(55.874131, -4.282179);15
movestart;{"min":0,"sec":32,"mili":909};null;null;LatLng(55.88015, -4.292908);LatLng(55.874131, -4.282179);null
zoom;{"min":0,"sec":33,"mili":242};null;null;LatLng(55.882822, -4.298401);LatLng(55.870784, -4.276943);14
zoomend;{"min":0,"sec":33,"mili":242};null;null;LatLng(55.882822, -4.298401);LatLng(55.870784, -4.276943);14
moveend;{"min":0,"sec":33,"mili":242};null;null;LatLng(55.882822, -4.298401);LatLng(55.870784, -4.276943);null
movestart;{"min":0,"sec":35,"mili":89};null;null;LatLng(55.882822, -4.298401);LatLng(55.870784, -4.276943);null
dragstart;{"min":0,"sec":35,"mili":89};null;null;LatLng(55.882822, -4.298401);LatLng(55.870784, -4.276943);null
dragend;{"min":0,"sec":35,"mili":310};null;null;LatLng(55.879548, -4.300547);LatLng(55.86751, -4.279089);null
