type;temps;posLatLon;posPix;NOcorner;center;nivZoom
zoomstart;{"min":0,"sec":3,"mili":48};null;null;LatLng(55.883736, -4.309301);LatLng(55.871699, -4.287844);14
movestart;{"min":0,"sec":3,"mili":48};null;null;LatLng(55.883736, -4.309301);LatLng(55.871699, -4.287844);null
zoom;{"min":0,"sec":3,"mili":380};null;null;LatLng(55.878416, -4.298272);LatLng(55.872398, -4.287543);15
zoomend;{"min":0,"sec":3,"mili":380};null;null;LatLng(55.878416, -4.298272);LatLng(55.872398, -4.287543);15
moveend;{"min":0,"sec":3,"mili":380};null;null;LatLng(55.878416, -4.298272);LatLng(55.872398, -4.287543);null
Using mouse
zoomstart;{"min":0,"sec":3,"mili":710};null;null;LatLng(55.878416, -4.298272);LatLng(55.872398, -4.287543);15
movestart;{"min":0,"sec":3,"mili":710};null;null;LatLng(55.878416, -4.298272);LatLng(55.872398, -4.287543);null
zoom;{"min":0,"sec":3,"mili":942};null;null;LatLng(55.875118, -4.29383);LatLng(55.872109, -4.288466);16
zoomend;{"min":0,"sec":3,"mili":942};null;null;LatLng(55.875118, -4.29383);LatLng(55.872109, -4.288466);16
moveend;{"min":0,"sec":3,"mili":942};null;null;LatLng(55.875118, -4.29383);LatLng(55.872109, -4.288466);null
zoomstart;{"min":0,"sec":4,"mili":375};null;null;LatLng(55.875118, -4.29383);LatLng(55.872109, -4.288466);16
movestart;{"min":0,"sec":4,"mili":375};null;null;LatLng(55.875118, -4.29383);LatLng(55.872109, -4.288466);null
zoom;{"min":0,"sec":4,"mili":706};null;null;LatLng(55.87327, -4.29088);LatLng(55.871766, -4.288198);17
zoomend;{"min":0,"sec":4,"mili":706};null;null;LatLng(55.87327, -4.29088);LatLng(55.871766, -4.288198);17
moveend;{"min":0,"sec":4,"mili":706};null;null;LatLng(55.87327, -4.29088);LatLng(55.871766, -4.288198);null
zoomstart;{"min":0,"sec":5,"mili":34};null;null;LatLng(55.87327, -4.29088);LatLng(55.871766, -4.288198);17
movestart;{"min":0,"sec":5,"mili":34};null;null;LatLng(55.87327, -4.29088);LatLng(55.871766, -4.288198);null
zoom;{"min":0,"sec":5,"mili":255};null;null;LatLng(55.8725, -4.289652);LatLng(55.871748, -4.28831);18
zoomend;{"min":0,"sec":5,"mili":255};null;null;LatLng(55.8725, -4.289652);LatLng(55.871748, -4.28831);18
moveend;{"min":0,"sec":5,"mili":255};null;null;LatLng(55.8725, -4.289652);LatLng(55.871748, -4.28831);null
zoomstart;{"min":0,"sec":5,"mili":579};null;null;LatLng(55.8725, -4.289652);LatLng(55.871748, -4.28831);18
movestart;{"min":0,"sec":5,"mili":579};null;null;LatLng(55.8725, -4.289652);LatLng(55.871748, -4.28831);null
zoom;{"min":0,"sec":5,"mili":801};null;null;LatLng(55.872091, -4.289032);LatLng(55.871714, -4.288361);19
zoomend;{"min":0,"sec":5,"mili":801};null;null;LatLng(55.872091, -4.289032);LatLng(55.871714, -4.288361);19
moveend;{"min":0,"sec":5,"mili":801};null;null;LatLng(55.872091, -4.289032);LatLng(55.871714, -4.288361);null
zoomstart;{"min":0,"sec":6,"mili":355};null;null;LatLng(55.872091, -4.289032);LatLng(55.871714, -4.288361);19
movestart;{"min":0,"sec":6,"mili":355};null;null;LatLng(55.872091, -4.289032);LatLng(55.871714, -4.288361);null
zoom;{"min":0,"sec":6,"mili":571};null;null;LatLng(55.8719, -4.288709);LatLng(55.871711, -4.288373);20
zoomend;{"min":0,"sec":6,"mili":571};null;null;LatLng(55.8719, -4.288709);LatLng(55.871711, -4.288373);20
moveend;{"min":0,"sec":6,"mili":571};null;null;LatLng(55.8719, -4.288709);LatLng(55.871711, -4.288373);null
zoomstart;{"min":0,"sec":7,"mili":780};null;null;LatLng(55.8719, -4.288709);LatLng(55.871711, -4.288373);20
movestart;{"min":0,"sec":7,"mili":780};null;null;LatLng(55.8719, -4.288709);LatLng(55.871711, -4.288373);null
zoom;{"min":0,"sec":7,"mili":998};null;null;LatLng(55.872074, -4.289032);LatLng(55.871698, -4.288361);19
zoomend;{"min":0,"sec":7,"mili":998};null;null;LatLng(55.872074, -4.289032);LatLng(55.871698, -4.288361);19
moveend;{"min":0,"sec":7,"mili":998};null;null;LatLng(55.872074, -4.289032);LatLng(55.871698, -4.288361);null
zoomstart;{"min":0,"sec":8,"mili":215};null;null;LatLng(55.872074, -4.289032);LatLng(55.871698, -4.288361);19
movestart;{"min":0,"sec":8,"mili":215};null;null;LatLng(55.872074, -4.289032);LatLng(55.871698, -4.288361);null
zoom;{"min":0,"sec":8,"mili":433};null;null;LatLng(55.87234, -4.289941);LatLng(55.871588, -4.2886);18
zoomend;{"min":0,"sec":8,"mili":433};null;null;LatLng(55.87234, -4.289941);LatLng(55.871588, -4.2886);18
moveend;{"min":0,"sec":8,"mili":433};null;null;LatLng(55.87234, -4.289941);LatLng(55.871588, -4.2886);null
zoomstart;{"min":0,"sec":8,"mili":652};null;null;LatLng(55.87234, -4.289941);LatLng(55.871588, -4.2886);18
movestart;{"min":0,"sec":8,"mili":652};null;null;LatLng(55.87234, -4.289941);LatLng(55.871588, -4.2886);null
zoom;{"min":0,"sec":8,"mili":866};null;null;LatLng(55.873421, -4.294903);LatLng(55.870411, -4.289539);16
zoomend;{"min":0,"sec":8,"mili":866};null;null;LatLng(55.873421, -4.294903);LatLng(55.870411, -4.289539);16
moveend;{"min":0,"sec":8,"mili":866};null;null;LatLng(55.873421, -4.294903);LatLng(55.870411, -4.289539);null
zoomstart;{"min":0,"sec":8,"mili":976};null;null;LatLng(55.873421, -4.294903);LatLng(55.870411, -4.289539);16
movestart;{"min":0,"sec":8,"mili":976};null;null;LatLng(55.873421, -4.294903);LatLng(55.870411, -4.289539);null
zoom;{"min":0,"sec":9,"mili":196};null;null;LatLng(55.874661, -4.302049);LatLng(55.868641, -4.29132);15
zoomend;{"min":0,"sec":9,"mili":196};null;null;LatLng(55.874661, -4.302049);LatLng(55.868641, -4.29132);15
moveend;{"min":0,"sec":9,"mili":196};null;null;LatLng(55.874661, -4.302049);LatLng(55.868641, -4.29132);null
movestart;{"min":0,"sec":9,"mili":413};null;null;LatLng(55.874661, -4.302049);LatLng(55.868641, -4.29132);null
dragstart;{"min":0,"sec":9,"mili":413};null;null;LatLng(55.874661, -4.302049);LatLng(55.868641, -4.29132);null
dragend;{"min":0,"sec":9,"mili":854};null;null;LatLng(55.878465, -4.29677);LatLng(55.872446, -4.286041);null
moveend;{"min":0,"sec":9,"mili":854};null;null;LatLng(55.878441, -4.29677);LatLng(55.872422, -4.286041);null
movestart;{"min":0,"sec":11,"mili":80};null;null;LatLng(55.878441, -4.29677);LatLng(55.872422, -4.286041);null
dragstart;{"min":0,"sec":11,"mili":80};null;null;LatLng(55.878441, -4.29677);LatLng(55.872422, -4.286041);null
dragend;{"min":0,"sec":11,"mili":185};null;null;LatLng(55.878441, -4.296556);LatLng(55.872422, -4.285827);null
moveend;{"min":0,"sec":11,"mili":185};null;null;LatLng(55.878441, -4.296556);LatLng(55.872422, -4.285827);null
movestart;{"min":0,"sec":14,"mili":256};null;null;LatLng(55.878441, -4.296556);LatLng(55.872422, -4.285827);null
moveend;{"min":0,"sec":14,"mili":579};null;null;LatLng(55.878441, -4.29647);LatLng(55.872422, -4.285741);null
movestart;{"min":0,"sec":15,"mili":896};null;null;LatLng(55.878441, -4.29647);LatLng(55.872422, -4.285741);null
moveend;{"min":0,"sec":16,"mili":116};null;null;LatLng(55.88015, -4.29647);LatLng(55.874131, -4.285741);null
zoomstart;{"min":0,"sec":21,"mili":913};null;null;LatLng(55.88015, -4.29647);LatLng(55.874131, -4.285741);15
