type;temps;posLatLon;posPix;NOcorner;center;nivZoom
movestart;{"min":0,"sec":10,"mili":996};null;null;LatLng(55.883736, -4.309387);LatLng(55.871699, -4.28793);null
dragstart;{"min":0,"sec":10,"mili":996};null;null;LatLng(55.883736, -4.309387);LatLng(55.871699, -4.28793);null
dragend;{"min":0,"sec":11,"mili":105};null;null;LatLng(55.884218, -4.308786);LatLng(55.872181, -4.287329);null
moveend;{"min":0,"sec":11,"mili":105};null;null;LatLng(55.884218, -4.308786);LatLng(55.872181, -4.287329);null
movestart;{"min":0,"sec":18,"mili":106};null;null;LatLng(55.884218, -4.308786);LatLng(55.872181, -4.287329);null
dragstart;{"min":0,"sec":18,"mili":106};null;null;LatLng(55.884218, -4.308786);LatLng(55.872181, -4.287329);null
dragend;{"min":0,"sec":18,"mili":215};null;null;LatLng(55.88417, -4.307756);LatLng(55.872133, -4.286299);null
moveend;{"min":0,"sec":18,"mili":215};null;null;LatLng(55.88417, -4.307756);LatLng(55.872133, -4.286299);null
movestart;{"min":0,"sec":24,"mili":394};null;null;LatLng(55.88417, -4.307756);LatLng(55.872133, -4.286299);null
dragstart;{"min":0,"sec":24,"mili":394};null;null;LatLng(55.88417, -4.307756);LatLng(55.872133, -4.286299);null
dragend;{"min":0,"sec":24,"mili":613};null;null;LatLng(55.883399, -4.303465);LatLng(55.871362, -4.282007);null
moveend;{"min":0,"sec":24,"mili":613};null;null;LatLng(55.883399, -4.303465);LatLng(55.871362, -4.282007);null
click;{"min":0,"sec":40,"mili":539};LatLng(55.876563, -4.275398);Point(327, 142);null;null;null
dblclick;{"min":0,"sec":41,"mili":522};LatLng(55.876755, -4.27763);Point(301, 138);null;null;null
zoomstart;{"min":0,"sec":41,"mili":522};null;null;LatLng(55.883399, -4.303465);LatLng(55.871362, -4.282007);14
movestart;{"min":0,"sec":41,"mili":522};null;null;LatLng(55.883399, -4.303465);LatLng(55.871362, -4.282007);null
zoom;{"min":0,"sec":41,"mili":741};null;null;LatLng(55.880077, -4.290547);LatLng(55.874059, -4.279819);15
zoomend;{"min":0,"sec":41,"mili":741};null;null;LatLng(55.880077, -4.290547);LatLng(55.874059, -4.279819);15
