type;temps;posLatLon;posPix;NOcorner;center;nivZoom;trans
mousemove;{"min":0,"sec":0,"mili":431};LatLng(55.883718, -4.299259);Point(121, 0.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":431};LatLng(55.88237, -4.299088);Point(123, 28.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":431};LatLng(55.88107, -4.298744);Point(127, 55.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":431};LatLng(55.88054, -4.298487);Point(130, 66.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":431};LatLng(55.879626, -4.2978);Point(138, 85.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":431};LatLng(55.878615, -4.297199);Point(145, 106.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":541};LatLng(55.878229, -4.296856);Point(149, 114.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":541};LatLng(55.877748, -4.296513);Point(153, 124.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":541};LatLng(55.876881, -4.295912);Point(160, 142.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":541};LatLng(55.876063, -4.295311);Point(167, 159.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":541};LatLng(55.875726, -4.294968);Point(171, 166.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":541};LatLng(55.8751, -4.294624);Point(175, 179.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":541};LatLng(55.874618, -4.294281);Point(179, 189.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":541};LatLng(55.874378, -4.294109);Point(181, 194.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":541};LatLng(55.874137, -4.293852);Point(184, 199.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":650};LatLng(55.873848, -4.29368);Point(186, 205.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":650};LatLng(55.873607, -4.293509);Point(188, 210.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":650};LatLng(55.873511, -4.293423);Point(189, 212.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":650};LatLng(55.873366, -4.293251);Point(191, 215.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":650};LatLng(55.87327, -4.293251);Point(191, 217.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":650};LatLng(55.873222, -4.293165);Point(192, 218.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":650};LatLng(55.873126, -4.293079);Point(193, 220.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":650};LatLng(55.873077, -4.293079);Point(193, 221.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":650};LatLng(55.872981, -4.293079);Point(193, 223.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":650};LatLng(55.872933, -4.293079);Point(193, 224.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":759};LatLng(55.872837, -4.292994);Point(194, 226.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":759};LatLng(55.872788, -4.292908);Point(195, 227.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":759};LatLng(55.872692, -4.292908);Point(195, 229.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":759};LatLng(55.872644, -4.292908);Point(195, 230.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":759};LatLng(55.872548, -4.292822);Point(196, 232.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":759};LatLng(55.872403, -4.292822);Point(196, 235.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":759};LatLng(55.872403, -4.292822);Point(196, 235.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":759};LatLng(55.872259, -4.292822);Point(196, 238.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":759};LatLng(55.872259, -4.292822);Point(196, 238.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":759};LatLng(55.872114, -4.292822);Point(196, 241.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":869};LatLng(55.872018, -4.292822);Point(196, 243.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":869};LatLng(55.87197, -4.292822);Point(196, 244.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":869};LatLng(55.871874, -4.292822);Point(196, 246.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":869};LatLng(55.871777, -4.292822);Point(196, 248.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":869};LatLng(55.871729, -4.292822);Point(196, 249.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":869};LatLng(55.871633, -4.292736);Point(197, 251.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":869};LatLng(55.871536, -4.29265);Point(198, 253.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":869};LatLng(55.871488, -4.292564);Point(199, 254.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":869};LatLng(55.87144, -4.292479);Point(200, 255.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":869};LatLng(55.87144, -4.292479);Point(200, 255.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":978};LatLng(55.871344, -4.292307);Point(202, 257.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":978};LatLng(55.871344, -4.292221);Point(203, 257.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
mousemove;{"min":0,"sec":0,"mili":978};LatLng(55.871296, -4.292049);Point(205, 258.383331);LatLng(55.883736, -4.309645);LatLng(55.871699, -4.288187);14;null
