type;temps;posLatLon;posPix;NOcorner;center;nivZoom
mousemove;{"min":0,"sec":0,"mili":661};LatLng(55.883399, -4.288874);Point(240, 7);null;null;null
mousemove;{"min":0,"sec":0,"mili":661};LatLng(55.883159, -4.288445);Point(245, 12);null;null;null
mousemove;{"min":0,"sec":0,"mili":769};LatLng(55.882918, -4.288015);Point(250, 17);null;null;null
mousemove;{"min":0,"sec":0,"mili":769};LatLng(55.882725, -4.287672);Point(254, 21);null;null;null
mousemove;{"min":0,"sec":0,"mili":769};LatLng(55.882581, -4.287415);Point(257, 24);null;null;null
mousemove;{"min":0,"sec":0,"mili":769};LatLng(55.88234, -4.287071);Point(261, 29);null;null;null
mousemove;{"min":0,"sec":0,"mili":769};LatLng(55.882292, -4.2869);Point(263, 30);null;null;null
mousemove;{"min":0,"sec":0,"mili":769};LatLng(55.882244, -4.2869);Point(263, 31);null;null;null
mousemove;{"min":0,"sec":0,"mili":769};LatLng(55.882196, -4.286814);Point(264, 32);null;null;null
mousemove;{"min":0,"sec":0,"mili":769};LatLng(55.882148, -4.286814);Point(264, 33);null;null;null
mousemove;{"min":0,"sec":0,"mili":769};LatLng(55.882099, -4.286728);Point(265, 34);null;null;null
mousemove;{"min":0,"sec":0,"mili":769};LatLng(55.882051, -4.286642);Point(266, 35);null;null;null
mousemove;{"min":0,"sec":0,"mili":769};LatLng(55.882003, -4.286642);Point(266, 36);null;null;null
mousemove;{"min":0,"sec":0,"mili":769};LatLng(55.881955, -4.286556);Point(267, 37);null;null;null
mousemove;{"min":0,"sec":0,"mili":769};LatLng(55.881859, -4.28647);Point(268, 39);null;null;null
mousemove;{"min":0,"sec":0,"mili":879};LatLng(55.881762, -4.286299);Point(270, 41);null;null;null
mousemove;{"min":0,"sec":0,"mili":879};LatLng(55.880992, -4.285526);Point(279, 57);null;null;null
mousemove;{"min":0,"sec":0,"mili":879};LatLng(55.880414, -4.284925);Point(286, 69);null;null;null
mousemove;{"min":0,"sec":0,"mili":879};LatLng(55.87974, -4.284153);Point(295, 83);null;null;null
mousemove;{"min":0,"sec":0,"mili":879};LatLng(55.879259, -4.283724);Point(300, 93);null;null;null
