type;temps;posLatLon;posPix;NOcorner;center;nivZoom
mousemove;{"min":0,"sec":0,"mili":762};LatLng(55.88364, -4.280205);Point(339, 2);null;null;null
mousemove;{"min":0,"sec":0,"mili":762};LatLng(55.883496, -4.280291);Point(338, 5);null;null;null
mousemove;{"min":0,"sec":0,"mili":762};LatLng(55.883351, -4.280548);Point(335, 8);null;null;null
mousemove;{"min":0,"sec":0,"mili":762};LatLng(55.883207, -4.28072);Point(333, 11);null;null;null
mousemove;{"min":0,"sec":0,"mili":762};LatLng(55.88311, -4.280891);Point(331, 13);null;null;null
mousemove;{"min":0,"sec":0,"mili":762};LatLng(55.883014, -4.281063);Point(329, 15);null;null;null
mousemove;{"min":0,"sec":0,"mili":762};LatLng(55.882966, -4.281321);Point(326, 16);null;null;null
mousemove;{"min":0,"sec":0,"mili":870};LatLng(55.88287, -4.281492);Point(324, 18);null;null;null
mousemove;{"min":0,"sec":0,"mili":870};LatLng(55.882822, -4.281664);Point(322, 19);null;null;null
mousemove;{"min":0,"sec":0,"mili":870};LatLng(55.882773, -4.28175);Point(321, 20);null;null;null
mousemove;{"min":0,"sec":0,"mili":870};LatLng(55.882725, -4.28175);Point(321, 21);null;null;null
mousemove;{"min":0,"sec":0,"mili":870};LatLng(55.882677, -4.281664);Point(322, 22);null;null;null
mousemove;{"min":0,"sec":0,"mili":870};LatLng(55.882581, -4.281235);Point(327, 24);null;null;null
mousemove;{"min":0,"sec":0,"mili":870};LatLng(55.882436, -4.28072);Point(333, 27);null;null;null
mousemove;{"min":0,"sec":0,"mili":870};LatLng(55.882244, -4.280033);Point(341, 31);null;null;null
mousemove;{"min":0,"sec":0,"mili":870};LatLng(55.882003, -4.279346);Point(349, 36);null;null;null
mousemove;{"min":0,"sec":0,"mili":870};LatLng(55.881714, -4.278917);Point(354, 42);null;null;null
mousemove;{"min":0,"sec":0,"mili":870};LatLng(55.881522, -4.278574);Point(358, 46);null;null;null
mousemove;{"min":0,"sec":0,"mili":870};LatLng(55.881185, -4.278316);Point(361, 53);null;null;null
mousemove;{"min":0,"sec":0,"mili":870};LatLng(55.880896, -4.278316);Point(361, 59);null;null;null
mousemove;{"min":0,"sec":0,"mili":870};LatLng(55.880703, -4.278316);Point(361, 63);null;null;null
mousemove;{"min":0,"sec":0,"mili":979};LatLng(55.880511, -4.278316);Point(361, 67);null;null;null
mousemove;{"min":0,"sec":0,"mili":979};LatLng(55.880414, -4.278402);Point(360, 69);null;null;null
mousemove;{"min":0,"sec":0,"mili":979};LatLng(55.880318, -4.278574);Point(358, 71);null;null;null
mousemove;{"min":0,"sec":0,"mili":979};LatLng(55.88027, -4.278746);Point(356, 72);null;null;null
mousemove;{"min":0,"sec":0,"mili":979};LatLng(55.880174, -4.278831);Point(355, 74);null;null;null
mousemove;{"min":0,"sec":0,"mili":979};LatLng(55.880126, -4.279003);Point(353, 75);null;null;null
mousemove;{"min":0,"sec":0,"mili":979};LatLng(55.880029, -4.279175);Point(351, 77);null;null;null
mousemove;{"min":0,"sec":0,"mili":979};LatLng(55.880029, -4.279261);Point(350, 77);null;null;null
mousemove;{"min":0,"sec":0,"mili":979};LatLng(55.879981, -4.279432);Point(348, 78);null;null;null
mousemove;{"min":0,"sec":0,"mili":979};LatLng(55.879933, -4.279518);Point(347, 79);null;null;null
mousemove;{"min":0,"sec":0,"mili":979};LatLng(55.879933, -4.279604);Point(346, 79);null;null;null
mousemove;{"min":0,"sec":0,"mili":979};LatLng(55.879933, -4.279604);Point(346, 79);null;null;null
mousemove;{"min":0,"sec":1,"mili":90};LatLng(55.879933, -4.27969);Point(345, 79);null;null;null
mousemove;{"min":0,"sec":1,"mili":90};LatLng(55.879885, -4.27969);Point(345, 80);null;null;null
mousemove;{"min":0,"sec":1,"mili":90};LatLng(55.879885, -4.279776);Point(344, 80);null;null;null
mousemove;{"min":0,"sec":1,"mili":90};LatLng(55.879837, -4.279861);Point(343, 81);null;null;null
mousemove;{"min":0,"sec":1,"mili":90};LatLng(55.879789, -4.279861);Point(343, 82);null;null;null
mousemove;{"min":0,"sec":1,"mili":90};LatLng(55.879789, -4.279947);Point(342, 82);null;null;null
mousemove;{"min":0,"sec":1,"mili":201};LatLng(55.87974, -4.279947);Point(342, 83);null;null;null
mousemove;{"min":0,"sec":1,"mili":201};LatLng(55.879692, -4.279947);Point(342, 84);null;null;null
mousemove;{"min":0,"sec":1,"mili":201};LatLng(55.879692, -4.279947);Point(342, 84);null;null;null
mousemove;{"min":0,"sec":1,"mili":201};LatLng(55.879644, -4.279947);Point(342, 85);null;null;null
mousemove;{"min":0,"sec":1,"mili":201};LatLng(55.879644, -4.280033);Point(341, 85);null;null;null
mousemove;{"min":0,"sec":1,"mili":201};LatLng(55.879644, -4.280033);Point(341, 85);null;null;null
mousemove;{"min":0,"sec":1,"mili":201};LatLng(55.879596, -4.280033);Point(341, 86);null;null;null
mousemove;{"min":0,"sec":1,"mili":201};LatLng(55.879452, -4.280119);Point(340, 89);null;null;null
mousemove;{"min":0,"sec":1,"mili":201};LatLng(55.879307, -4.280205);Point(339, 92);null;null;null
mousemove;{"min":0,"sec":1,"mili":201};LatLng(55.879115, -4.280291);Point(338, 96);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.878874, -4.280376);Point(337, 101);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.878633, -4.280462);Point(336, 106);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.878441, -4.280548);Point(335, 110);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.878248, -4.280548);Point(335, 114);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.878055, -4.280548);Point(335, 118);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.877959, -4.280548);Point(335, 120);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.877863, -4.280548);Point(335, 122);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.877766, -4.280548);Point(335, 124);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.877718, -4.280376);Point(337, 125);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.877574, -4.280291);Point(338, 128);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.877478, -4.280119);Point(340, 130);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.877429, -4.279947);Point(342, 131);null;null;null
mousemove;{"min":0,"sec":1,"mili":309};LatLng(55.877381, -4.27969);Point(345, 132);null;null;null
mousemove;{"min":0,"sec":1,"mili":420};LatLng(55.877333, -4.279518);Point(347, 133);null;null;null
mousemove;{"min":0,"sec":1,"mili":420};LatLng(55.877333, -4.279261);Point(350, 133);null;null;null
mousemove;{"min":0,"sec":1,"mili":420};LatLng(55.877333, -4.279003);Point(353, 133);null;null;null
mousemove;{"min":0,"sec":1,"mili":420};LatLng(55.877285, -4.278831);Point(355, 134);null;null;null
mousemove;{"min":0,"sec":1,"mili":420};LatLng(55.877285, -4.27866);Point(357, 134);null;null;null
mousemove;{"min":0,"sec":1,"mili":420};LatLng(55.877237, -4.278488);Point(359, 135);null;null;null
mousemove;{"min":0,"sec":1,"mili":420};LatLng(55.877189, -4.278316);Point(361, 136);null;null;null
mousemove;{"min":0,"sec":1,"mili":420};LatLng(55.877141, -4.278145);Point(363, 137);null;null;null
mousemove;{"min":0,"sec":1,"mili":420};LatLng(55.877092, -4.278059);Point(364, 138);null;null;null
mousemove;{"min":0,"sec":1,"mili":420};LatLng(55.877092, -4.277973);Point(365, 138);null;null;null
mousemove;{"min":0,"sec":1,"mili":420};LatLng(55.877092, -4.277802);Point(367, 138);null;null;null
mousemove;{"min":0,"sec":1,"mili":420};LatLng(55.877141, -4.277716);Point(368, 137);null;null;null
mousemove;{"min":0,"sec":1,"mili":420};LatLng(55.877189, -4.277458);Point(371, 136);null;null;null
mousemove;{"min":0,"sec":1,"mili":420};LatLng(55.877237, -4.277287);Point(373, 135);null;null;null
mousemove;{"min":0,"sec":1,"mili":531};LatLng(55.877285, -4.277201);Point(374, 134);null;null;null
mousemove;{"min":0,"sec":1,"mili":531};LatLng(55.877333, -4.277115);Point(375, 133);null;null;null
mousemove;{"min":0,"sec":1,"mili":531};LatLng(55.877333, -4.277115);Point(375, 133);null;null;null
mousemove;{"min":0,"sec":1,"mili":531};LatLng(55.877381, -4.277029);Point(376, 132);null;null;null
mousemove;{"min":0,"sec":1,"mili":641};LatLng(55.877526, -4.277029);Point(376, 129);null;null;null
mousemove;{"min":0,"sec":1,"mili":641};LatLng(55.877381, -4.276943);Point(378, 128);null;null;null
mousemove;{"min":0,"sec":1,"mili":641};LatLng(55.877478, -4.277029);Point(379, 125);null;null;null
mousemove;{"min":0,"sec":1,"mili":641};LatLng(55.877478, -4.276943);Point(381, 122);null;null;null
mousemove;{"min":0,"sec":1,"mili":641};LatLng(55.877526, -4.276857);Point(384, 118);null;null;null
mousemove;{"min":0,"sec":1,"mili":641};LatLng(55.877478, -4.276857);Point(387, 115);null;null;null
mousemove;{"min":0,"sec":1,"mili":641};LatLng(55.877622, -4.276772);Point(391, 109);null;null;null
mousemove;{"min":0,"sec":1,"mili":641};LatLng(55.87767, -4.276686);Point(396, 102);null;null;null
mousemove;{"min":0,"sec":1,"mili":641};LatLng(55.877766, -4.276514);Point(403, 93);null;null;null
mousemove;{"min":0,"sec":1,"mili":752};LatLng(55.877911, -4.276428);Point(411, 81);null;null;null
mousemove;{"min":0,"sec":1,"mili":752};LatLng(55.877478, -4.276943);Point(413, 78);null;null;null
mousemove;{"min":0,"sec":1,"mili":752};LatLng(55.877622, -4.276772);Point(417, 72);null;null;null
mousemove;{"min":0,"sec":1,"mili":752};LatLng(55.877429, -4.276943);Point(419, 70);null;null;null
mousemove;{"min":0,"sec":1,"mili":752};LatLng(55.877478, -4.276943);Point(421, 67);null;null;null
mousemove;{"min":0,"sec":1,"mili":752};LatLng(55.877381, -4.277115);Point(421, 66);null;null;null
mousemove;{"min":0,"sec":1,"mili":752};LatLng(55.877333, -4.277029);Point(422, 66);null;null;null
mousemove;{"min":0,"sec":1,"mili":752};LatLng(55.877381, -4.277115);Point(422, 65);null;null;null
mousemove;{"min":0,"sec":1,"mili":862};LatLng(55.877285, -4.277115);Point(422, 66);null;null;null
mousemove;{"min":0,"sec":1,"mili":862};LatLng(55.877285, -4.277201);Point(421, 67);null;null;null
mousemove;{"min":0,"sec":1,"mili":862};LatLng(55.877237, -4.277201);Point(420, 69);null;null;null
mousemove;{"min":0,"sec":1,"mili":862};LatLng(55.877237, -4.277201);Point(419, 71);null;null;null
mousemove;{"min":0,"sec":1,"mili":862};LatLng(55.877189, -4.277287);Point(417, 74);null;null;null
mousemove;{"min":0,"sec":1,"mili":978};LatLng(55.877189, -4.277201);Point(416, 77);null;null;null
mousemove;{"min":0,"sec":1,"mili":978};LatLng(55.877189, -4.277372);Point(413, 80);null;null;null
mousemove;{"min":0,"sec":1,"mili":978};LatLng(55.877189, -4.277287);Point(411, 83);null;null;null
mousemove;{"min":0,"sec":1,"mili":978};LatLng(55.877141, -4.277287);Point(409, 87);null;null;null
mousemove;{"min":0,"sec":1,"mili":978};LatLng(55.877189, -4.277372);Point(406, 90);null;null;null
mousemove;{"min":0,"sec":1,"mili":978};LatLng(55.877189, -4.277287);Point(404, 93);null;null;null
