type;temps;posLatLon;posPix;NOcorner;center;nivZoom
mousemove;{"min":0,"sec":2,"mili":100};LatLng(55.883688, -4.292564);Point(196, 1);null;null;null
mousemove;{"min":0,"sec":2,"mili":100};LatLng(55.883062, -4.291878);Point(204, 14);null;null;null
mousemove;{"min":0,"sec":2,"mili":100};LatLng(55.882292, -4.291191);Point(212, 30);null;null;null
mousemove;{"min":0,"sec":2,"mili":100};LatLng(55.881281, -4.290504);Point(220, 51);null;null;null
mousemove;{"min":0,"sec":2,"mili":100};LatLng(55.880463, -4.289989);Point(226, 68);null;null;null
mousemove;{"min":0,"sec":2,"mili":100};LatLng(55.879596, -4.289389);Point(233, 86);null;null;null
mousemove;{"min":0,"sec":2,"mili":100};LatLng(55.878778, -4.288874);Point(239, 103);null;null;null
mousemove;{"min":0,"sec":2,"mili":100};LatLng(55.878055, -4.288445);Point(244, 118);null;null;null
mousemove;{"min":0,"sec":2,"mili":100};LatLng(55.877333, -4.288015);Point(249, 133);null;null;null
mousemove;{"min":0,"sec":2,"mili":100};LatLng(55.876563, -4.2875);Point(255, 149);null;null;null
mousemove;{"min":0,"sec":2,"mili":100};LatLng(55.875889, -4.287243);Point(258, 163);null;null;null
mousemove;{"min":0,"sec":2,"mili":100};LatLng(55.875118, -4.2869);Point(262, 179);null;null;null
mousemove;{"min":0,"sec":2,"mili":100};LatLng(55.874252, -4.28647);Point(267, 197);null;null;null
mousemove;{"min":0,"sec":2,"mili":100};LatLng(55.873481, -4.286127);Point(271, 213);null;null;null
mousemove;{"min":0,"sec":2,"mili":212};LatLng(55.872759, -4.28587);Point(274, 228);null;null;null
mousemove;{"min":0,"sec":2,"mili":212};LatLng(55.872085, -4.285612);Point(277, 242);null;null;null
mousemove;{"min":0,"sec":2,"mili":212};LatLng(55.871651, -4.28544);Point(279, 251);null;null;null
mousemove;{"min":0,"sec":2,"mili":212};LatLng(55.87141, -4.285355);Point(280, 256);null;null;null
mousemove;{"min":0,"sec":2,"mili":212};LatLng(55.871218, -4.285355);Point(280, 260);null;null;null
mousemove;{"min":0,"sec":2,"mili":212};LatLng(55.87117, -4.285355);Point(280, 261);null;null;null
mousemove;{"min":0,"sec":2,"mili":319};LatLng(55.871122, -4.285355);Point(280, 262);null;null;null
mousemove;{"min":0,"sec":2,"mili":319};LatLng(55.871122, -4.28544);Point(279, 262);null;null;null
mousemove;{"min":0,"sec":2,"mili":319};LatLng(55.871073, -4.285526);Point(278, 263);null;null;null
mousemove;{"min":0,"sec":2,"mili":319};LatLng(55.871025, -4.285698);Point(276, 264);null;null;null
mousemove;{"min":0,"sec":2,"mili":319};LatLng(55.870929, -4.285955);Point(273, 266);null;null;null
mousemove;{"min":0,"sec":2,"mili":319};LatLng(55.870929, -4.286041);Point(272, 266);null;null;null
mousemove;{"min":0,"sec":2,"mili":319};LatLng(55.870833, -4.286213);Point(270, 268);null;null;null
mousemove;{"min":0,"sec":2,"mili":319};LatLng(55.870736, -4.286299);Point(269, 270);null;null;null
mousemove;{"min":0,"sec":2,"mili":319};LatLng(55.870736, -4.28647);Point(267, 270);null;null;null
mousemove;{"min":0,"sec":2,"mili":319};LatLng(55.870688, -4.286556);Point(266, 271);null;null;null
mousemove;{"min":0,"sec":2,"mili":319};LatLng(55.87064, -4.286642);Point(265, 272);null;null;null
mousemove;{"min":0,"sec":2,"mili":319};LatLng(55.870544, -4.286814);Point(263, 274);null;null;null
mousemove;{"min":0,"sec":2,"mili":319};LatLng(55.870495, -4.2869);Point(262, 275);null;null;null
mousemove;{"min":0,"sec":2,"mili":429};LatLng(55.870399, -4.286985);Point(261, 277);null;null;null
mousemove;{"min":0,"sec":2,"mili":429};LatLng(55.870255, -4.287243);Point(258, 280);null;null;null
mousemove;{"min":0,"sec":2,"mili":429};LatLng(55.870158, -4.287415);Point(256, 282);null;null;null
mousemove;{"min":0,"sec":2,"mili":429};LatLng(55.870014, -4.287586);Point(254, 285);null;null;null
mousemove;{"min":0,"sec":2,"mili":429};LatLng(55.869869, -4.287758);Point(252, 288);null;null;null
mousemove;{"min":0,"sec":2,"mili":429};LatLng(55.869725, -4.28793);Point(250, 291);null;null;null
mousemove;{"min":0,"sec":2,"mili":429};LatLng(55.869629, -4.288015);Point(249, 293);null;null;null
mousemove;{"min":0,"sec":2,"mili":429};LatLng(55.869436, -4.288187);Point(247, 297);null;null;null
mousemove;{"min":0,"sec":2,"mili":429};LatLng(55.86934, -4.288187);Point(247, 299);null;null;null
mousemove;{"min":0,"sec":2,"mili":429};LatLng(55.86934, -4.288187);Point(247, 299);null;null;null
mousemove;{"min":0,"sec":2,"mili":537};LatLng(55.86934, -4.288273);Point(246, 299);null;null;null
mousemove;{"min":0,"sec":2,"mili":647};LatLng(55.86934, -4.288273);Point(246, 299);null;null;null
mousemove;{"min":0,"sec":2,"mili":647};LatLng(55.86934, -4.288359);Point(245, 299);null;null;null
mousemove;{"min":0,"sec":2,"mili":647};LatLng(55.869292, -4.288445);Point(244, 300);null;null;null
mousemove;{"min":0,"sec":2,"mili":647};LatLng(55.869243, -4.288616);Point(242, 301);null;null;null
mousemove;{"min":0,"sec":2,"mili":647};LatLng(55.869147, -4.288702);Point(241, 303);null;null;null
mousemove;{"min":0,"sec":2,"mili":647};LatLng(55.869003, -4.28896);Point(238, 306);null;null;null
mousemove;{"min":0,"sec":2,"mili":647};LatLng(55.868906, -4.289045);Point(237, 308);null;null;null
mousemove;{"min":0,"sec":2,"mili":647};LatLng(55.868762, -4.289045);Point(237, 311);null;null;null
mousemove;{"min":0,"sec":2,"mili":647};LatLng(55.868665, -4.289045);Point(237, 313);null;null;null
mousemove;{"min":0,"sec":2,"mili":647};LatLng(55.868569, -4.289045);Point(237, 315);null;null;null
mousemove;{"min":0,"sec":2,"mili":647};LatLng(55.868473, -4.289045);Point(237, 317);null;null;null
mousemove;{"min":0,"sec":2,"mili":757};LatLng(55.868377, -4.28896);Point(238, 319);null;null;null
mousemove;{"min":0,"sec":2,"mili":757};LatLng(55.86828, -4.288788);Point(240, 321);null;null;null
mousemove;{"min":0,"sec":2,"mili":757};LatLng(55.868184, -4.288702);Point(241, 323);null;null;null
mousemove;{"min":0,"sec":2,"mili":757};LatLng(55.868088, -4.288616);Point(242, 325);null;null;null
mousemove;{"min":0,"sec":2,"mili":757};LatLng(55.868039, -4.288616);Point(242, 326);null;null;null
mousemove;{"min":0,"sec":2,"mili":975};LatLng(55.868039, -4.288616);Point(242, 326);null;null;null
mousemove;{"min":0,"sec":2,"mili":975};LatLng(55.868039, -4.288702);Point(241, 326);null;null;null
mousemove;{"min":0,"sec":2,"mili":975};LatLng(55.868184, -4.289045);Point(237, 323);null;null;null
mousemove;{"min":0,"sec":2,"mili":975};LatLng(55.86828, -4.289303);Point(234, 321);null;null;null
mousemove;{"min":0,"sec":2,"mili":975};LatLng(55.86828, -4.28956);Point(231, 321);null;null;null
mousemove;{"min":0,"sec":2,"mili":975};LatLng(55.868377, -4.289904);Point(227, 319);null;null;null
mousemove;{"min":0,"sec":2,"mili":975};LatLng(55.868425, -4.290333);Point(222, 318);null;null;null
mousemove;{"min":0,"sec":2,"mili":975};LatLng(55.868473, -4.290676);Point(218, 317);null;null;null
mousemove;{"min":0,"sec":2,"mili":975};LatLng(55.868521, -4.291019);Point(214, 316);null;null;null
mousemove;{"min":0,"sec":2,"mili":975};LatLng(55.868569, -4.291277);Point(211, 315);null;null;null
mousemove;{"min":0,"sec":3,"mili":85};LatLng(55.868617, -4.291534);Point(208, 314);null;null;null
mousemove;{"min":0,"sec":3,"mili":85};LatLng(55.868617, -4.291706);Point(206, 314);null;null;null
mousemove;{"min":0,"sec":3,"mili":85};LatLng(55.868617, -4.291792);Point(205, 314);null;null;null
mousemove;{"min":0,"sec":3,"mili":964};LatLng(55.868617, -4.291792);Point(205, 314);null;null;null
mousemove;{"min":0,"sec":3,"mili":964};LatLng(55.868617, -4.291792);Point(205, 314);null;null;null
mousemove;{"min":0,"sec":3,"mili":964};LatLng(55.868665, -4.290762);Point(217, 313);null;null;null
mousemove;{"min":0,"sec":3,"mili":964};LatLng(55.868665, -4.290762);Point(217, 313);null;null;null
mousemove;{"min":0,"sec":4,"mili":293};LatLng(55.868714, -4.290762);Point(217, 312);null;null;null
mousemove;{"min":0,"sec":4,"mili":293};LatLng(55.868714, -4.290762);Point(217, 312);null;null;null
mousemove;{"min":0,"sec":4,"mili":401};LatLng(55.869051, -4.290247);Point(223, 305);null;null;null
mousemove;{"min":0,"sec":4,"mili":401};LatLng(55.869099, -4.290075);Point(225, 304);null;null;null
mousemove;{"min":0,"sec":4,"mili":401};LatLng(55.869147, -4.289989);Point(226, 303);null;null;null
mousemove;{"min":0,"sec":4,"mili":401};LatLng(55.869195, -4.289904);Point(227, 302);null;null;null
